datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2022-01-04 00:00:00,775.6029,759.21716,749.9153,748.61194,760.9183,804.5618,865.2368,941.6535,965.37445,977.9877,997.0047,1005.70544,1005.1022,1008.449,1005.35767,1010.75934,1047.678,1073.6521,1074.1768,1048.6086,1013.8051,959.90344,896.2857,837.2765
2022-01-04 01:00:00,763.8823,755.2746,753.63293,761.8632,799.1481,867.28296,945.8948,967.6487,984.4159,1002.3639,1012.02484,1011.8987,1015.1682,1012.2175,1018.7129,1053.3285,1079.3955,1080.6188,1053.0822,1020.4737,961.4872,900.3458,838.5814,805.8319
2022-01-04 02:00:00,759.3252,757.82184,766.6764,798.4903,857.9077,945.40674,971.5841,987.05566,1006.65936,1012.31995,1014.4887,1015.3267,1012.90314,1018.70135,1054.263,1081.4093,1081.7444,1058.2002,1022.91907,962.6365,895.8895,832.4159,800.4284,783.7373
2022-01-04 03:00:00,767.62366,776.4783,807.1774,859.5818,939.2158,970.8107,990.65955,1008.6234,1014.6583,1012.5067,1016.3435,1013.5311,1020.93024,1054.4719,1081.1344,1081.4879,1060.8278,1026.4005,968.40784,901.3346,826.3879,792.4314,773.95685,767.94366
2022-01-04 04:00:00,782.2587,813.6338,865.8744,939.2699,962.1793,986.7466,1010.05176,1015.8436,1013.9482,1015.8978,1013.5223,1021.5917,1056.2017,1082.0748,1082.5258,1058.0898,1025.2003,969.26685,903.4298,826.49677,782.20886,764.396,758.66003,761.85675
2022-01-04 05:00:00,818.0189,869.17346,947.3311,964.36255,985.3657,1013.86865,1022.3452,1020.4782,1025.1862,1025.6576,1033.2931,1064.5623,1091.7639,1090.5818,1060.3817,1028.6465,979.3528,916.04755,838.4549,786.11914,762.0449,755.5498,758.36426,767.77893
2022-01-04 06:00:00,870.36804,952.13605,972.81995,988.0302,1016.7046,1028.421,1024.9364,1030.0516,1031.081,1038.6167,1070.2498,1097.2981,1097.2853,1061.72,1028.2639,979.03125,916.1284,840.72614,792.5324,768.7417,754.9366,757.71497,767.73083,796.129
2022-01-04 07:00:00,956.2565,978.5419,996.203,1019.0563,1034.4624,1036.6997,1028.668,1031.3987,1036.9083,1072.0763,1097.697,1096.2546,1056.9998,1018.0834,959.67633,905.3434,832.82776,794.4107,780.091,760.68286,762.8034,775.03827,805.18414,848.5695
2022-01-04 08:00:00,988.9765,1005.588,1029.7673,1039.4824,1035.152,1024.1617,1026.0421,1031.8342,1071.3076,1096.1387,1089.7501,1054.9553,1016.9033,958.0947,893.6073,830.85583,797.52673,782.3104,767.596,769.09595,783.53485,822.37036,866.7366,933.8679
2022-01-04 09:00:00,1004.5603,1023.7225,1034.0385,1024.5952,1020.7705,1017.08044,1023.1467,1065.4747,1090.8878,1087.6058,1050.2156,1013.02826,952.21436,888.4595,822.52637,790.31445,777.39703,765.26685,767.8819,785.0163,827.5205,880.1655,943.9776,964.9513
2022-01-04 10:00:00,1014.3992,1019.19385,1018.1647,1015.4009,1014.2685,1017.24475,1060.1073,1087.0896,1085.6028,1049.2021,1007.7876,945.11804,882.7992,818.17786,785.49,766.0798,757.9621,760.1052,772.4225,811.95105,870.1748,939.7927,961.6766,974.9606
2022-01-04 11:00:00,1012.0742,1011.2849,1010.1288,1009.32446,1015.0189,1055.8677,1082.2976,1082.2976,1047.1787,1009.04785,943.7986,880.2947,819.5055,786.7067,764.28973,754.8941,757.1593,768.59766,802.2185,856.0277,935.5947,960.97595,973.0226,989.1717
2022-01-04 12:00:00,996.6676,996.1532,997.8054,1006.2409,1050.4854,1073.6248,1072.2736,1039.7297,1002.2377,934.2084,869.00653,814.1544,781.2041,757.176,745.56824,750.8096,760.5083,791.4335,842.8103,928.3037,953.3248,972.56445,985.59375,991.54614
2022-01-04 13:00:00,976.8634,981.5986,993.3906,1036.1937,1060.977,1058.1926,1026.91,989.08276,922.1846,859.4784,802.3125,772.6274,751.14514,741.9623,746.47174,762.31647,797.5579,851.99054,927.1378,950.3858,966.4958,975.385,979.3672,980.8383
2022-01-04 14:00:00,976.9137,987.9435,1029.9316,1054.7344,1053.6543,1022.57153,982.69885,916.0429,854.78125,800.4745,772.6213,749.7904,739.93494,749.46875,760.20544,794.524,851.10364,921.6168,943.0106,962.017,969.7213,975.733,977.03894,973.99915
2022-01-04 15:00:00,979.0338,1019.60565,1046.4541,1045.0951,1016.75696,977.8198,907.0504,845.77045,794.21796,763.8709,746.9713,736.5403,742.9533,756.9213,789.10754,850.11816,917.8058,937.4663,952.98755,960.59863,967.8368,969.26605,966.428,967.11957
2022-01-04 16:00:00,1017.0037,1043.0203,1043.0203,1014.302,976.919,908.6952,842.93604,790.6764,762.8779,741.9241,735.5292,741.5751,752.9232,788.0748,844.3722,914.04114,935.5691,950.899,955.96826,964.64233,968.2158,964.22974,965.9772,975.13684
2022-01-04 17:00:00,1060.241,1060.241,1032.2314,998.8495,939.0626,872.7062,812.4802,771.5719,750.94507,743.1546,747.92944,759.7224,791.18195,850.9445,922.1941,945.08673,963.0197,973.48517,979.69995,985.7561,985.6056,985.4663,994.29626,1033.5203
2022-01-04 18:00:00,1101.5764,1048.3359,1019.2529,964.6714,902.78107,832.5515,785.93365,758.4121,747.4265,750.3723,760.47705,791.9076,846.8768,924.65674,951.9435,973.3162,985.4978,996.51843,1006.64355,1017.62976,1018.2468,1027.51,1065.0021,1086.0796
2022-01-04 19:00:00,1047.0594,1018.0697,969.59735,907.94366,838.2257,787.7036,761.6075,749.3097,750.9776,760.8186,793.17377,848.04944,922.37476,948.6191,973.17334,987.964,996.48895,1006.0733,1015.14703,1018.98206,1030.0986,1062.7834,1083.8047,1083.8047
2022-01-04 20:00:00,1001.5381,952.761,895.8905,829.76117,789.09314,766.42206,754.9446,755.1578,765.2497,799.75366,853.69507,926.5119,943.7442,961.0124,978.45416,988.72626,992.18713,995.429,996.0495,1006.17786,1043.9062,1067.6868,1067.6868,1062.876
2022-01-04 21:00:00,940.55164,885.08264,823.6487,785.3042,767.33997,753.7084,754.2867,763.2064,798.3722,848.78894,921.10266,938.2678,951.44763,965.7854,974.219,977.0315,981.92395,980.0893,987.99316,1035.469,1063.3604,1063.3604,1061.0331,1029.2583
2022-01-04 22:00:00,884.97455,826.77313,794.86426,770.20935,760.7602,763.365,774.5736,808.8083,861.53076,930.6917,945.17786,957.0626,973.1765,980.24146,979.3207,988.9336,985.6542,990.4542,1032.5845,1057.604,1058.7407,1050.7375,1020.0541,963.7322
2022-01-04 23:00:00,810.8616,773.17664,756.95325,748.525,754.91235,774.0312,807.3883,861.16113,931.452,946.4358,962.2948,974.5927,981.953,982.2212,986.6532,986.00867,991.3318,1033.85,1058.3805,1058.0039,1032.4332,1007.0354,948.94336,887.6334
2022-01-05 00:00:00,764.7379,749.03906,741.33704,744.13617,756.50916,799.7101,856.3385,924.69025,944.11847,956.7921,967.11536,973.84485,972.42035,973.14026,976.30115,984.2765,1020.2631,1046.4302,1047.073,1019.9446,985.3402,929.3135,866.22723,815.4691
2022-01-05 01:00:00,747.2073,741.0946,744.8012,753.69104,788.41626,854.1566,925.57715,943.4855,959.20026,967.3104,972.3733,972.24756,972.5884,974.7422,983.2075,1018.19275,1043.4292,1044.6526,1018.59717,988.72925,925.3725,861.2554,810.4357,783.80524
2022-01-05 02:00:00,744.5498,748.2563,757.4041,789.1245,847.9968,928.8865,948.1278,960.0915,970.45056,972.75195,974.4921,972.2644,975.9252,985.25824,1020.5921,1046.6366,1047.3794,1024.7225,993.4429,932.48267,858.6212,808.4091,782.7524,765.72906
2022-01-05 03:00:00,746.89417,755.5489,786.9185,840.03253,916.9091,941.19684,955.10596,961.7258,966.7755,964.6942,965.6784,969.20557,979.7645,1015.3646,1040.4613,1040.9122,1022.2471,992.69543,928.5366,857.44257,792.92017,768.2621,750.7485,745.1321
2022-01-05 04:00:00,760.01514,791.4807,844.71655,915.55786,936.21094,954.8846,969.75525,973.2759,969.77576,969.7033,971.07104,981.68555,1014.9968,1040.7799,1041.1576,1019.3672,988.02625,932.05145,864.20154,794.3029,758.3985,740.81506,736.0945,742.97205
2022-01-05 05:00:00,802.00366,855.51465,927.8154,943.0166,960.02527,979.8041,985.87134,982.2385,985.2401,983.6471,994.3425,1027.6577,1054.1033,1054.4387,1027.2644,1000.4401,944.12537,879.7761,814.84753,770.71576,745.59924,740.2612,745.80023,754.6262
2022-01-05 06:00:00,856.9736,934.67267,947.4775,962.9925,983.28375,992.7326,989.34814,990.1658,992.0851,1000.40314,1033.6996,1061.303,1061.1426,1027.4672,995.0637,941.0735,882.2537,815.2718,774.16583,749.3858,736.41254,740.6326,748.8543,776.55225
2022-01-05 07:00:00,933.4834,947.9607,963.6748,980.58325,989.4081,993.2527,993.474,996.4492,1003.64825,1039.7942,1064.2609,1063.6692,1027.2161,998.7324,939.23694,883.73804,815.2146,777.80493,755.2753,738.74457,741.4997,751.96423,781.6702,828.6548
2022-01-05 08:00:00,952.8794,969.1605,984.4612,992.5933,992.6428,992.8384,992.492,1000.6189,1035.5267,1061.7854,1058.4209,1030.0471,998.3235,938.76575,879.115,822.395,783.30225,762.6574,747.94727,748.768,761.65247,793.9271,844.0238,908.5697
2022-01-05 09:00:00,965.5799,976.4893,984.46826,982.3895,973.9996,974.14856,981.8192,1020.4114,1047.7603,1046.7522,1026.1658,992.3833,931.344,870.44275,809.21686,776.5476,756.2249,741.66144,746.5175,762.99915,798.22546,850.39954,908.13007,922.239
2022-01-05 10:00:00,968.93134,971.2317,971.40955,966.32947,970.6918,977.8585,1014.18054,1041.0796,1040.8188,1017.74225,983.922,921.64526,861.52893,799.7135,764.9825,745.6834,737.5299,741.2895,756.00354,792.8727,849.9839,905.7742,921.3292,936.87195
2022-01-05 11:00:00,975.9729,977.41724,969.1538,972.848,981.4739,1018.2975,1042.6588,1042.6588,1019.245,987.0099,922.0293,857.84924,799.5397,763.9009,738.52747,732.114,737.8347,750.0632,784.962,844.3505,911.68787,929.01636,944.0161,951.147
2022-01-05 12:00:00,973.52704,967.53485,970.2805,979.81726,1020.4313,1044.3595,1043.0083,1020.32837,985.78577,917.95746,855.1122,798.85254,765.1915,742.46466,729.2197,736.802,748.66565,781.60736,839.26245,910.98065,931.4466,946.6058,952.27295,956.24365
2022-01-05 13:00:00,965.02673,970.0265,980.98755,1023.34357,1047.7245,1044.6777,1019.0117,982.8964,914.64166,852.0005,796.3862,762.9881,740.3296,729.0044,731.9795,746.4055,779.7679,834.72424,906.25195,929.05896,947.2471,956.7474,960.8431,960.7323
2022-01-05 14:00:00,965.1873,976.3657,1018.2622,1042.3812,1040.8623,1012.8944,975.36005,906.9316,844.20544,792.171,758.8435,736.33575,726.42737,734.3075,743.2462,777.08954,834.7489,903.9152,924.34503,943.97784,955.29236,962.3997,962.9264,961.26
2022-01-05 15:00:00,960.396,997.3238,1024.9662,1023.60706,1001.1343,959.26953,893.89185,832.8646,779.2084,746.66547,728.9836,721.3705,725.139,739.0652,771.40704,833.6592,898.13354,916.5095,932.5989,942.2505,951.0323,955.69006,952.99866,952.6007
2022-01-05 16:00:00,993.37744,1020.28455,1020.28455,996.035,957.5624,892.2665,830.6613,776.2529,743.349,723.9248,717.73145,722.57306,734.54456,769.24335,828.10394,895.4283,915.02594,929.16797,935.2054,947.53577,954.2198,953.09155,953.68713,963.5502
2022-01-05 17:00:00,1029.2556,1029.2556,1001.3773,962.4574,897.61334,835.3136,780.2389,747.65125,727.4102,718.4482,724.69995,736.90466,770.60645,830.2827,897.53503,918.65137,935.61,941.7676,951.7743,960.16614,959.43604,961.031,968.2242,1003.975
2022-01-05 18:00:00,1041.248,1012.91565,975.3152,915.5056,852.6425,793.8573,758.6821,736.76917,727.68774,731.1075,744.3926,777.72375,833.49927,901.83954,924.2471,941.7738,951.77814,962.36755,967.06104,969.21277,970.7265,978.56055,1014.4816,1039.1248
2022-01-05 19:00:00,1012.7334,972.35266,914.3468,855.9229,799.8512,763.32404,742.4051,732.7041,736.26575,746.62366,781.5935,836.10626,905.0263,926.79663,943.87866,954.6133,962.7477,965.73315,966.8447,970.9173,978.6137,1015.3659,1041.3586,1041.3586
2022-01-05 20:00:00,958.8143,896.625,839.51697,791.56134,760.3048,738.0546,726.8359,731.3697,742.17126,776.46136,830.4894,899.001,919.2196,932.69055,941.0912,950.37683,953.27704,952.97754,956.92334,967.7572,1008.4708,1034.2817,1034.2817,1022.3701
2022-01-05 21:00:00,891.0847,833.98474,786.0596,757.22217,739.3086,732.7854,734.16974,746.3561,782.2318,838.4944,907.4863,929.2084,941.76306,947.84644,956.67175,961.113,955.72186,955.88025,966.5021,1003.7842,1033.4536,1033.9045,1011.79553,974.86743
2022-01-05 22:00:00,822.137,774.6886,743.4498,728.04395,722.0676,733.31335,742.0103,775.64325,839.6295,910.3039,932.04333,946.34503,953.9467,961.1748,962.7827,964.1387,965.44885,975.4867,1006.10986,1028.804,1029.2523,998.8282,964.62286,910.34863
2022-01-05 23:00:00,770.74194,738.1174,720.362,713.2897,720.2947,741.19434,772.9339,830.28784,911.74426,931.2035,945.5392,948.201,952.8893,956.9622,957.30054,961.00433,969.4491,1003.9185,1024.8575,1024.079,991.4099,961.13354,900.3661,836.18567
2022-01-06 00:00:00,739.939,718.51843,712.2235,716.2141,728.3726,770.2124,828.0577,903.8602,929.4938,941.8135,947.7322,951.0906,956.7175,956.81604,961.13916,970.2589,1004.41943,1021.7334,1021.9719,992.21387,961.4691,901.62897,838.14624,798.50134
2022-01-06 01:00:00,712.1842,704.92847,708.1904,716.2257,753.5932,818.7619,894.8164,919.30493,932.85046,937.129,944.28394,951.139,951.4325,955.74927,964.89746,996.18164,1011.6549,1011.9429,986.31415,955.70447,891.17957,830.4946,785.72076,758.53973
2022-01-06 02:00:00,703.2896,706.99316,713.76666,745.0183,802.5748,888.32385,913.96606,929.3129,936.1765,940.1743,948.07434,949.50665,954.1631,962.02576,989.2305,1008.6713,1007.61926,977.71875,942.8707,886.9516,818.8739,772.0491,744.6156,717.9629
2022-01-06 03:00:00,706.9177,713.62537,742.8985,796.22174,877.5747,911.28394,928.958,936.3484,941.471,949.45447,950.56836,956.51917,964.7937,992.7851,1011.5965,1011.72375,983.3092,949.48987,894.3999,830.39233,764.56274,733.61487,708.0459,699.64075
2022-01-06 04:00:00,714.49274,743.7588,795.5763,872.5515,898.5687,926.49194,938.1509,944.05383,949.0797,953.9441,959.2886,967.8921,998.343,1018.0363,1017.25006,990.47144,954.70874,901.5137,841.39667,769.8843,723.7854,696.9737,687.8935,692.1117
2022-01-06 05:00:00,751.7353,804.5043,880.8519,902.21875,924.3133,941.9917,949.7893,955.3563,960.97473,963.2118,968.8418,998.83496,1017.69495,1017.6831,990.54675,956.8887,903.46204,851.2709,785.074,737.6821,701.319,689.36566,692.44226,698.9155
2022-01-06 06:00:00,817.5198,888.7907,909.41833,925.35156,937.60864,950.95325,953.4384,958.3507,958.2999,969.933,1000.149,1018.4374,1018.25183,993.38574,960.22345,908.9447,851.5073,794.39813,746.85455,717.0817,702.6316,706.0205,712.9256,738.1561
2022-01-06 07:00:00,902.8782,924.07495,939.2301,948.4621,956.0583,965.6769,965.48785,967.9398,978.99475,1008.56226,1024.9784,1024.3152,995.20197,962.6384,907.9402,850.5255,796.1693,754.6741,727.2747,716.1196,720.38477,730.53235,760.65497,805.4451
2022-01-06 08:00:00,924.15845,939.44763,950.1654,957.05237,959.3843,962.7147,967.4842,976.23096,1007.69885,1026.2455,1023.0686,993.3957,962.5206,904.4565,842.86816,789.97046,750.31464,723.71533,712.8637,718.0198,731.6328,762.05945,810.0929,878.1052
2022-01-06 09:00:00,941.63477,950.45483,955.64526,962.1339,958.27606,959.93524,970.1068,1001.3517,1020.8341,1020.33923,991.1306,963.1707,903.4579,839.0211,781.8434,742.7391,715.30237,702.8821,708.06506,725.25366,757.3951,807.24365,876.92725,897.98364
2022-01-06 10:00:00,946.30164,952.1052,958.7272,954.4026,957.2626,967.01984,996.1508,1016.2777,1016.2777,992.4126,961.3474,901.63806,835.03284,779.13696,742.41296,717.3425,702.4658,704.81195,720.00757,755.9781,810.52576,879.6536,901.46826,911.4138
2022-01-06 11:00:00,948.0052,953.843,950.7276,956.65027,967.37195,995.0951,1014.37396,1014.37396,984.9513,957.51416,894.77924,832.80615,779.30615,743.7013,716.47375,704.91284,706.408,720.01843,753.82056,811.92883,883.3944,905.35114,916.0293,923.1769
2022-01-06 12:00:00,949.63495,944.93005,949.6695,962.5791,995.3799,1015.13794,1012.7007,983.94977,953.24475,889.1344,827.89056,777.58246,745.60455,720.3927,705.0968,709.1607,723.569,755.134,813.70276,884.6773,909.4951,921.26447,927.1964,932.61523
